<UNK> <UNK>
가	k0 aa
계속될수록	k0 ye s0 oo kf tt wo ll s0 uu rr oo kf
구릉으로서	k0 uu rr xx ng xx rr oo s0 vv
그늘에서는	k0 xx nn xx rr ee s0 vv nn xx nf
기다리자는	k0 ii t0 aa rr ii c0 aa nn xx nf
나타나리라	nn aa th aa nn aa rr ii rr aa
나풀거리며	nn aa ph uu ll k0 vv rr ii mm yv
낮잠이라도	nn aa tf cc aa mm ii rr aa t0 oo
너구리굴이	nn vv k0 uu rr ii k0 uu rr ii
논밭두렁에	nn oo nf p0 aa tf tt uu rr vv ng ee
논밭두렁을	nn oo nf p0 aa tf tt uu rr vv ng xx ll
다가오기도	t0 aa k0 aa oo k0 ii t0 oo
다행이었다	t0 aa h0 qq ng ii vv tf tt aa
단발머리를	t0 aa nf p0 aa ll mm vv rr ii rr xx ll
두렁으로만	t0 uu rr vv ng xx rr oo mm aa nf
뒤따라오는	t0 wi tt aa rr aa oo nn xx nf
들불놀이를	t0 xx ll p0 uu ll rr oo rr ii rr xx ll
들여다본다	t0 xx ll rr yv t0 aa p0 oo nf t0 aa
등성이로는	t0 xx ng s0 vv ng ii rr oo nn xx nf
때문이었다	tt qq mm uu nn ii vv tf tt aa
마을이었다	mm aa xx rr ii vv tf tt aa
먹구렁이가	mm vv kf kk uu rr vv ng ii k0 aa
메밀밭이다	mm ee mm ii ll p0 aa ch ii t0 aa
모여들었다	mm oo yv t0 xx rr vv tf tt aa
바동거려도	p0 aa t0 oo ng k0 vv rr yv t0 oo
바동거렸다	p0 aa t0 oo ng k0 vv rr yv tf tt aa
반짝거렸다	p0 aa nf cc aa kf kk vv rr yv tf tt aa
빨개지도록	pp aa ll k0 qq c0 ii t0 oo rr oo kf
빨아들이듯	pp aa rr aa t0 xx rr ii t0 xx tf
산골짜기에	s0 aa nf kk oo ll cc aa k0 ii ee
소원이었다	s0 oo wv nn ii vv tf tt aa
손바닥으로	s0 oo nf pp aa t0 aa k0 xx rr oo
송아지만큼	s0 oo ng aa c0 ii mm aa nf kh xx mf
스며드니까	s0 xx mm yv t0 xx nn ii kk aa
아래편으로	aa rr qq ph yv nn xx rr oo
아이들에게	aa ii t0 xx rr ee k0 ee
아지랑이는	aa c0 ii rr aa ng ii nn xx nf
않으면서도	aa nn xx mm yv nf s0 vv t0 oo
어제까지는	vv c0 ee kk aa c0 ii nn xx nf
얼굴이라도	vv ll k0 uu rr ii rr aa t0 oo
영감이라고	yv ng k0 aa mm ii rr aa k0 oo
울타리에는	uu ll th aa rr ii ee nn xx nf
있을까마는	ii ss xx ll kk aa mm aa nn xx nf
조심스럽게	c0 oo s0 ii mf s0 xx rr vv pf kk ee
조용하기만	c0 oo yo ng h0 aa k0 ii mm aa nf
증손녀라는	c0 xx ng s0 oo nf nn yv rr aa nn xx nf
질색이었다	c0 ii ll ss qq k0 ii vv tf tt aa
징검다리를	c0 ii ng k0 vv mf t0 aa rr ii rr xx ll
청솔가지를	ch vv ng s0 oo ll k0 aa c0 ii rr xx ll
푸르름으로	ph uu rr xx rr xx mm xx rr oo
한가운데에	h0 aa nf k0 aa uu nf t0 ee ee
한창이었다	h0 aa nf ch aa ng ii vv tf tt aa
허리띠처럼	h0 vv rr ii tt ii ch vv rr vv mf
혓바닥으로	h0 yv tf pp aa t0 aa k0 xx rr oo
흘러들었다	h0 xx ll rr vv t0 xx rr vv tf tt aa
갈꽃머리에서	k0 aa ll kk oo nf mm vv rr ii ee s0 vv
갈밭머리에서	k0 aa ll pp aa nf mm vv rr ii ee s0 vv
건너가더니만	k0 vv nf nn vv k0 aa t0 vv nn ii mm aa nf
내려다보았다	nn qq rr yv t0 aa p0 oo aa tf tt aa
너구리굴에다	nn vv k0 uu rr ii k0 uu rr ee t0 aa
너구리보다도	nn vv k0 uu rr ii p0 oo t0 aa t0 oo
넘겨다보면서	nn vv mf k0 yv t0 aa p0 oo mm yv nf s0 vv
들불놀이라고	t0 xx ll p0 uu ll rr oo rr ii rr aa k0 oo
들불놀이만큼	t0 xx ll p0 uu ll rr oo rr ii mm aa nf kh xx mf
뛰쳐나가려고	tt wi ch yv nn aa k0 aa rr yv k0 oo
물장난이었다	mm uu ll cc aa ng nn aa nn ii vv tf tt aa
비단결보다도	p0 ii t0 aa nf k0 yv ll p0 oo t0 aa t0 oo
아카시아꽃이	aa kh aa s0 ii aa kk oo ch ii
어슬렁어슬렁	vv s0 xx ll rr vv ng vv s0 xx ll rr vv ng
조약돌이었다	c0 oo ya kf tt oo rr ii vv tf tt aa
토요일이었다	th oo yo ii rr ii vv tf tt aa
훈훈해지니까	h0 uu nf h0 uu nf h0 qq c0 ii nn ii kk aa
수수밭뿐이었다	s0 uu s0 uu p0 aa tf pp uu nn ii vv tf tt aa
조무래기들에게	c0 oo mm uu rr qq k0 ii t0 xx rr ee k0 ee
어린아이들에게도	vv rr ii nn aa ii t0 xx rr ee k0 ee t0 oo
